ID,Semester,Attendance_Percent,Backlogs,Hostel,Internship_Status,
1,4,88,0,YES,COMPLETED,
2,3,92,0,NO,ONGOING,
3,4,76,1,YES,COMPLETED,
4,2,90,0,NO,NOT_STARTED,
5,4,65,2,YES,DROPPED,
6,4,94,0,NO,COMPLETED,
7,3,81,0,NO,ONGOING,
8,4,70,1,YES,COMPLETED,
9,3,85,0,NO,,
10,4,89,0,YES,COMPLETED,
11,3,91,0,NO,ONGOING,
12,4,95,0,YES,COMPLETED,
13,2,72,1,NO,NOT_STARTED,
15,1,96,0,YES,COMPLETED,
16,3,78,1,NO,ONGOING,
17,4,83,0,YES,COMPLETED,
18,4,87,0,NO,COMPLETED,
19,3,80,0,YES,,
20,4,82,0,NO,COMPLETED,
21,2,75,1,YES,NOT_STARTED,
22,3,68,2,NO,ONGOING,
24,4,93,0,YES,COMPLETED,
25,3,90,0,NO,COMPLETED,
26,2,85,0,YES,COMPLETED,
